net,length_um
net1,91.48µm
counter\[2\],79.72µm
in_clk,75.46µm
counter\[1\],66.79µm
counter\[0\],51.16µm
clknet_1_1__leaf_in_clk,33.04µm
clknet_1_0__leaf_in_clk,30.85µm
net4,25.3µm
_07_,25.25µm
net5,23.62µm
net2,22.45µm
out_clk_cic,22.02µm
out_clk1,20.9µm
out_clk2B,20.9µm
_02_,20.16µm
out_clk2,18.1µm
clknet_0_in_clk,16.29µm
_12_,15.68µm
net3,14.66µm
_09_,14µm
rst,10.26µm
_08_,10.18µm
_14_,9.57µm
_03_,7.84µm
_05_,7.84µm
_11_,7.84µm
_04_,6.21µm
_06_,5.6µm
_01_,5.04µm
_00_,4.48µm
_10_,2.24µm
_13_,1.12µm
