Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_16_150,VDD,Metal1,91.2800,82.3200,5.000000
FILLER_16_146,VDD,Metal1,89.9800,81.8875,5.000000
FILLER_16_138,VDD,Metal1,86.7465,81.7430,5.000000
FILLER_16_104,VDD,Metal1,74.5955,81.5510,5.000000
FILLER_16_70,VDD,Metal1,55.5555,81.5510,5.000000
FILLER_16_36,VDD,Metal1,36.5155,81.5510,5.000000
FILLER_16_2,VDD,Metal1,17.4755,81.5510,5.000000
FILLER_15_150,VDD,Metal1,91.2800,74.4800,5.000000
FILLER_15_142,VDD,Metal1,88.9865,75.0565,5.000000
FILLER_15_136,VDD,Metal1,84.3800,74.9125,5.000000
FILLER_15_72,VDD,Metal1,65.6750,75.2940,5.000000
FILLER_15_66,VDD,Metal1,45.1800,74.9125,5.000000
FILLER_15_2,VDD,Metal1,26.4750,75.2940,5.000000
FILLER_14_135,VDD,Metal1,82.6000,74.4800,5.000000
FILLER_14_131,VDD,Metal1,81.5800,74.0475,5.000000
FILLER_14_123,VDD,Metal1,78.3465,73.9030,5.000000
FILLER_14_107,VDD,Metal1,71.7280,73.7880,5.000000
FILLER_14_101,VDD,Metal1,64.7800,74.0475,5.000000
FILLER_14_37,VDD,Metal1,46.0750,73.6655,5.000000
FILLER_14_34,VDD,Metal1,26.0400,74.4800,5.000000
FILLER_14_2,VDD,Metal1,17.4755,73.7110,5.000000
FILLER_13_150,VDD,Metal1,91.2800,66.6400,4.999964
FILLER_13_142,VDD,Metal1,88.9865,67.2165,4.999964
FILLER_13_136,VDD,Metal1,84.3800,67.0725,4.999964
FILLER_13_72,VDD,Metal1,65.6750,67.4540,4.999964
FILLER_13_66,VDD,Metal1,45.1800,67.0725,4.999964
FILLER_13_2,VDD,Metal1,26.4750,67.4540,4.999964
FILLER_12_117,VDD,Metal1,72.5200,66.6400,4.999964
FILLER_12_115,VDD,Metal1,71.6800,66.6400,4.999964
FILLER_12_107,VDD,Metal1,69.3865,66.0630,4.999964
FILLER_12_101,VDD,Metal1,64.7800,66.2075,4.999964
FILLER_12_37,VDD,Metal1,46.0750,65.8255,4.999964
FILLER_12_34,VDD,Metal1,26.0400,66.6400,4.999964
FILLER_12_2,VDD,Metal1,17.4755,65.8710,4.999964
FILLER_11_150,VDD,Metal1,91.2800,58.8000,4.999950
FILLER_11_146,VDD,Metal1,89.9800,59.2325,4.999950
FILLER_11_122,VDD,Metal1,75.6000,58.8000,4.999950
FILLER_11_104,VDD,Metal1,66.4600,59.2325,4.999950
FILLER_11_72,VDD,Metal1,56.6755,59.5685,4.999950
FILLER_11_66,VDD,Metal1,45.1800,59.2325,4.999951
FILLER_11_2,VDD,Metal1,26.4750,59.6140,4.999952
FILLER_10_148,VDD,Metal1,91.1000,58.3675,4.999950
FILLER_10_140,VDD,Metal1,87.8665,58.2230,4.999950
FILLER_10_115,VDD,Metal1,71.4000,58.8000,4.999950
FILLER_10_99,VDD,Metal1,62.4400,58.8000,4.999950
FILLER_10_61,VDD,Metal1,42.3800,58.3675,4.999952
FILLER_10_53,VDD,Metal1,39.1465,58.2230,4.999952
FILLER_10_37,VDD,Metal1,32.5280,58.1080,4.999952
FILLER_10_34,VDD,Metal1,26.0400,58.8000,4.999952
FILLER_10_2,VDD,Metal1,17.4755,58.0310,4.999952
FILLER_9_150,VDD,Metal1,91.2800,50.9600,4.999695
FILLER_9_142,VDD,Metal1,88.9865,51.5365,4.999695
FILLER_9_88,VDD,Metal1,56.5600,50.9600,4.999697
FILLER_9_80,VDD,Metal1,54.2665,51.5365,4.999701
FILLER_9_66,VDD,Metal1,45.1800,51.3925,4.999712
FILLER_9_2,VDD,Metal1,26.4750,51.7740,4.999714
FILLER_8_109,VDD,Metal1,68.0400,50.9600,4.999695
FILLER_8_107,VDD,Metal1,67.2000,50.9600,4.999695
FILLER_8_85,VDD,Metal1,59.4080,50.2680,4.999697
FILLER_8_61,VDD,Metal1,41.1600,50.9600,4.999714
FILLER_8_53,VDD,Metal1,39.1465,50.3830,4.999714
FILLER_8_37,VDD,Metal1,32.5280,50.2680,4.999714
FILLER_8_34,VDD,Metal1,26.0400,50.9600,4.999714
FILLER_8_2,VDD,Metal1,17.4755,50.1910,4.999714
FILLER_7_150,VDD,Metal1,91.2800,43.1200,4.999363
FILLER_7_146,VDD,Metal1,89.9800,43.5525,4.999363
FILLER_7_139,VDD,Metal1,84.8400,43.1200,4.999363
FILLER_7_88,VDD,Metal1,56.2800,43.1200,4.999364
FILLER_7_86,VDD,Metal1,55.4400,43.1200,4.999364
FILLER_7_78,VDD,Metal1,53.1465,43.6965,4.999364
FILLER_7_58,VDD,Metal1,40.7000,43.5525,4.999367
FILLER_7_50,VDD,Metal1,37.4665,43.6965,4.999368
FILLER_7_34,VDD,Metal1,30.8480,43.8120,4.999378
FILLER_7_2,VDD,Metal1,17.4755,43.8885,4.999414
FILLER_6_119,VDD,Metal1,73.6400,43.1200,4.999363
FILLER_6_115,VDD,Metal1,72.6200,42.6875,4.999363
FILLER_6_107,VDD,Metal1,69.3865,42.5430,4.999363
FILLER_6_53,VDD,Metal1,36.9600,43.1200,4.999368
FILLER_6_37,VDD,Metal1,32.5280,42.4280,4.999376
FILLER_6_34,VDD,Metal1,26.0400,43.1200,4.999413
FILLER_6_2,VDD,Metal1,17.4755,42.3510,4.999414
FILLER_5_150,VDD,Metal1,91.2800,35.2800,4.999871
FILLER_5_142,VDD,Metal1,88.9865,35.8565,4.999871
FILLER_5_138,VDD,Metal1,84.5600,35.2800,4.999871
FILLER_5_130,VDD,Metal1,82.2665,35.8565,4.999871
FILLER_5_72,VDD,Metal1,47.3200,35.2800,4.999873
FILLER_5_66,VDD,Metal1,45.1800,35.7125,4.999873
FILLER_5_2,VDD,Metal1,26.4750,36.0940,4.999873
FILLER_4_115,VDD,Metal1,71.4000,35.2800,4.999872
FILLER_4_107,VDD,Metal1,69.3865,34.7030,4.999873
FILLER_4_104,VDD,Metal1,65.2400,35.2800,4.999873
FILLER_4_102,VDD,Metal1,64.4000,35.2800,4.999873
FILLER_4_98,VDD,Metal1,63.1000,34.8475,4.999873
FILLER_4_90,VDD,Metal1,59.8665,34.7030,4.999873
FILLER_4_55,VDD,Metal1,37.8000,35.2800,4.999873
FILLER_4_53,VDD,Metal1,36.9600,35.2800,4.999873
FILLER_4_37,VDD,Metal1,32.5280,34.5880,4.999873
FILLER_4_34,VDD,Metal1,26.0400,35.2800,4.999873
FILLER_4_2,VDD,Metal1,17.4755,34.5110,4.999873
FILLER_3_150,VDD,Metal1,91.2800,27.4400,5.000000
FILLER_3_142,VDD,Metal1,88.9865,28.0165,5.000000
FILLER_3_136,VDD,Metal1,84.3800,27.8725,5.000000
FILLER_3_72,VDD,Metal1,65.6750,28.2540,5.000000
FILLER_3_66,VDD,Metal1,45.1800,27.8725,5.000000
FILLER_3_2,VDD,Metal1,26.4750,28.2540,5.000000
FILLER_2_151,VDD,Metal1,91.5600,27.4400,5.000000
FILLER_2_147,VDD,Metal1,90.5400,27.0075,5.000000
FILLER_2_139,VDD,Metal1,87.3065,26.8630,5.000000
FILLER_2_107,VDD,Metal1,76.2755,26.6710,5.000000
FILLER_2_101,VDD,Metal1,64.7800,27.0075,5.000000
FILLER_2_37,VDD,Metal1,46.0750,26.6255,5.000000
FILLER_2_34,VDD,Metal1,26.0400,27.4400,5.000000
FILLER_2_2,VDD,Metal1,17.4755,26.6710,5.000000
FILLER_1_150,VDD,Metal1,91.2800,19.6000,5.000000
FILLER_1_142,VDD,Metal1,88.9865,20.1765,5.000000
FILLER_1_136,VDD,Metal1,84.3800,20.0325,5.000000
FILLER_1_72,VDD,Metal1,65.6750,20.4140,5.000000
FILLER_1_66,VDD,Metal1,45.1800,20.0325,5.000000
FILLER_1_2,VDD,Metal1,26.4750,20.4140,5.000000
