Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_16_150,VSS,Metal1,91.2800,78.4000,0.000000
FILLER_16_146,VSS,Metal1,89.2200,78.7485,0.000000
FILLER_16_138,VSS,Metal1,85.7330,78.8615,0.000000
FILLER_16_104,VSS,Metal1,73.2440,78.9975,0.000000
FILLER_16_70,VSS,Metal1,54.2040,78.9975,0.000000
FILLER_16_36,VSS,Metal1,35.1640,78.9975,0.000000
FILLER_16_2,VSS,Metal1,16.1240,78.9975,0.000000
FILLER_15_150,VSS,Metal1,91.2800,78.4000,0.000000
FILLER_15_142,VSS,Metal1,87.9730,77.9380,0.000000
FILLER_15_136,VSS,Metal1,83.6200,78.0510,0.000000
FILLER_15_72,VSS,Metal1,64.2445,77.7620,0.000000
FILLER_15_66,VSS,Metal1,44.4200,78.0510,0.000000
FILLER_15_2,VSS,Metal1,25.0445,77.7620,0.000000
FILLER_14_135,VSS,Metal1,82.6000,70.5600,0.000000
FILLER_14_131,VSS,Metal1,80.8200,70.9085,0.000000
FILLER_14_123,VSS,Metal1,77.3330,71.0215,0.000000
FILLER_14_107,VSS,Metal1,70.5120,71.1080,0.000000
FILLER_14_101,VSS,Metal1,64.0200,70.9085,0.000000
FILLER_14_37,VSS,Metal1,44.6445,71.1975,0.000000
FILLER_14_34,VSS,Metal1,26.0400,70.5600,0.000000
FILLER_14_2,VSS,Metal1,16.1240,71.1575,0.000000
FILLER_13_150,VSS,Metal1,91.2800,70.5600,0.000000
FILLER_13_142,VSS,Metal1,87.9730,70.0980,0.000000
FILLER_13_136,VSS,Metal1,83.6200,70.2110,0.000000
FILLER_13_72,VSS,Metal1,64.2445,69.9220,0.000000
FILLER_13_66,VSS,Metal1,44.4200,70.2110,0.000000
FILLER_13_2,VSS,Metal1,25.0445,69.9220,0.000000
FILLER_12_117,VSS,Metal1,72.5200,62.7200,0.000041
FILLER_12_115,VSS,Metal1,71.6800,62.7200,0.000041
FILLER_12_107,VSS,Metal1,68.3730,63.1815,0.000039
FILLER_12_101,VSS,Metal1,64.0200,63.0685,0.000036
FILLER_12_37,VSS,Metal1,44.6445,63.3575,0.000036
FILLER_12_34,VSS,Metal1,26.0400,62.7200,0.000036
FILLER_12_2,VSS,Metal1,16.1240,63.3175,0.000036
FILLER_11_150,VSS,Metal1,91.2800,62.7200,0.000041
FILLER_11_146,VSS,Metal1,89.2200,62.3710,0.000041
FILLER_11_122,VSS,Metal1,75.6000,62.7200,0.000041
FILLER_11_104,VSS,Metal1,65.7000,62.3710,0.000038
FILLER_11_72,VSS,Metal1,55.3240,62.1220,0.000036
FILLER_11_66,VSS,Metal1,44.4200,62.3710,0.000036
FILLER_11_2,VSS,Metal1,25.0445,62.0820,0.000036
FILLER_10_148,VSS,Metal1,90.3400,55.2285,0.000323
FILLER_10_140,VSS,Metal1,86.8530,55.3415,0.000323
FILLER_10_115,VSS,Metal1,71.4000,54.8800,0.000323
FILLER_10_99,VSS,Metal1,62.4400,54.8800,0.000323
FILLER_10_61,VSS,Metal1,41.6200,55.2285,0.000299
FILLER_10_53,VSS,Metal1,38.1330,55.3415,0.000298
FILLER_10_37,VSS,Metal1,31.3120,55.4280,0.000298
FILLER_10_34,VSS,Metal1,26.0400,54.8800,0.000298
FILLER_10_2,VSS,Metal1,16.1240,55.4775,0.000298
FILLER_9_150,VSS,Metal1,91.2800,54.8800,0.000323
FILLER_9_142,VSS,Metal1,87.9730,54.4180,0.000323
FILLER_9_88,VSS,Metal1,56.5600,54.8800,0.000320
FILLER_9_80,VSS,Metal1,53.2530,54.4180,0.000320
FILLER_9_66,VSS,Metal1,44.4200,54.5310,0.000319
FILLER_9_2,VSS,Metal1,25.0445,54.2420,0.000298
FILLER_8_109,VSS,Metal1,68.0400,47.0400,0.000427
FILLER_8_107,VSS,Metal1,67.2000,47.0400,0.000427
FILLER_8_85,VSS,Metal1,58.1920,47.5880,0.000427
FILLER_8_61,VSS,Metal1,41.1600,47.0400,0.000373
FILLER_8_53,VSS,Metal1,38.1330,47.5015,0.000368
FILLER_8_37,VSS,Metal1,31.3120,47.5880,0.000362
FILLER_8_34,VSS,Metal1,26.0400,47.0400,0.000361
FILLER_8_2,VSS,Metal1,16.1240,47.6375,0.000361
FILLER_7_150,VSS,Metal1,91.2800,47.0400,0.000427
FILLER_7_146,VSS,Metal1,89.2200,46.6910,0.000427
FILLER_7_139,VSS,Metal1,84.8400,47.0400,0.000427
FILLER_7_88,VSS,Metal1,56.2800,47.0400,0.000427
FILLER_7_86,VSS,Metal1,55.4400,47.0400,0.000427
FILLER_7_78,VSS,Metal1,52.1330,46.5780,0.000409
FILLER_7_58,VSS,Metal1,39.9400,46.6910,0.000373
FILLER_7_50,VSS,Metal1,36.4530,46.5780,0.000367
FILLER_7_34,VSS,Metal1,29.6320,46.4920,0.000361
FILLER_7_2,VSS,Metal1,16.1240,46.4420,0.000361
FILLER_6_119,VSS,Metal1,73.6400,39.2000,0.000312
FILLER_6_115,VSS,Metal1,71.8600,39.5485,0.000312
FILLER_6_107,VSS,Metal1,68.3730,39.6615,0.000311
FILLER_6_53,VSS,Metal1,36.9600,39.2000,0.000310
FILLER_6_37,VSS,Metal1,31.3120,39.7480,0.000310
FILLER_6_34,VSS,Metal1,26.0400,39.2000,0.000310
FILLER_6_2,VSS,Metal1,16.1240,39.7975,0.000310
FILLER_5_150,VSS,Metal1,91.2800,39.2000,0.000312
FILLER_5_142,VSS,Metal1,87.9730,38.7380,0.000312
FILLER_5_138,VSS,Metal1,84.5600,39.2000,0.000312
FILLER_5_130,VSS,Metal1,81.2530,38.7380,0.000312
FILLER_5_72,VSS,Metal1,47.3200,39.2000,0.000311
FILLER_5_66,VSS,Metal1,44.4200,38.8510,0.000311
FILLER_5_2,VSS,Metal1,25.0445,38.5620,0.000310
FILLER_4_115,VSS,Metal1,71.4000,31.3600,0.000079
FILLER_4_107,VSS,Metal1,68.3730,31.8215,0.000079
FILLER_4_104,VSS,Metal1,65.2400,31.3600,0.000079
FILLER_4_102,VSS,Metal1,64.4000,31.3600,0.000079
FILLER_4_98,VSS,Metal1,62.3400,31.7085,0.000079
FILLER_4_90,VSS,Metal1,58.8530,31.8215,0.000079
FILLER_4_55,VSS,Metal1,37.8000,31.3600,0.000079
FILLER_4_53,VSS,Metal1,36.9600,31.3600,0.000079
FILLER_4_37,VSS,Metal1,31.3120,31.9080,0.000079
FILLER_4_34,VSS,Metal1,26.0400,31.3600,0.000079
FILLER_4_2,VSS,Metal1,16.1240,31.9575,0.000079
FILLER_3_150,VSS,Metal1,91.2800,31.3600,0.000079
FILLER_3_142,VSS,Metal1,87.9730,30.8980,0.000079
FILLER_3_136,VSS,Metal1,83.6200,31.0110,0.000079
FILLER_3_72,VSS,Metal1,64.2445,30.7220,0.000079
FILLER_3_66,VSS,Metal1,44.4200,31.0110,0.000079
FILLER_3_2,VSS,Metal1,25.0445,30.7220,0.000079
FILLER_2_151,VSS,Metal1,91.5600,23.5200,0.000000
FILLER_2_147,VSS,Metal1,89.7800,23.8685,0.000000
FILLER_2_139,VSS,Metal1,86.2930,23.9815,0.000000
FILLER_2_107,VSS,Metal1,74.9240,24.1175,0.000000
FILLER_2_101,VSS,Metal1,64.0200,23.8685,0.000000
FILLER_2_37,VSS,Metal1,44.6445,24.1575,0.000000
FILLER_2_34,VSS,Metal1,26.0400,23.5200,0.000000
FILLER_2_2,VSS,Metal1,16.1240,24.1175,0.000000
FILLER_1_150,VSS,Metal1,91.2800,23.5200,0.000000
FILLER_1_142,VSS,Metal1,87.9730,23.0580,0.000000
FILLER_1_136,VSS,Metal1,83.6200,23.1710,0.000000
FILLER_1_72,VSS,Metal1,64.2445,22.8820,0.000000
FILLER_1_66,VSS,Metal1,44.4200,23.1710,0.000000
FILLER_1_2,VSS,Metal1,25.0445,22.8820,0.000000
FILLER_0_150,VSS,Metal1,91.2800,15.6800,0.000000
FILLER_0_146,VSS,Metal1,89.2200,16.0285,0.000000
FILLER_0_138,VSS,Metal1,85.7330,16.1415,0.000000
FILLER_0_104,VSS,Metal1,73.2440,16.2775,0.000000
FILLER_0_70,VSS,Metal1,54.2040,16.2775,0.000000
FILLER_0_36,VSS,Metal1,35.1640,16.2775,0.000000
FILLER_0_2,VSS,Metal1,16.1240,16.2775,0.000000
clkload0,VSS,Metal1,44.0400,46.5825,0.000397
clkbuf_1_1__f_in_clk,VSS,Metal1,72.0935,54.2815,0.000323
clkbuf_1_0__f_in_clk,VSS,Metal1,50.5460,39.7980,0.000311
clkbuf_0_in_clk,VSS,Metal1,71.5335,46.4415,0.000427
output5,VSS,Metal1,80.5165,55.2005,0.000323
output4,VSS,Metal1,87.2365,70.8805,0.000000
output3,VSS,Metal1,80.5165,62.3990,0.000041
output2,VSS,Metal1,78.2765,39.5205,0.000312
input1,VSS,Metal1,87.4830,39.5205,0.000312
TAP_TAPCELL_ROW_16_71,VSS,Metal1,83.4400,78.8690,0.000000
TAP_TAPCELL_ROW_16_70,VSS,Metal1,64.4000,78.8690,0.000000
TAP_TAPCELL_ROW_16_69,VSS,Metal1,45.3600,78.8690,0.000000
TAP_TAPCELL_ROW_16_68,VSS,Metal1,26.3200,78.8690,0.000000
