net,length_um
net20,989.95µm
net18,915.28µm
net19,861.97µm
net16,828.53µm
net21,813.77µm
net17,811.94µm
net15,811.11µm
u_clock_div.counter\[7\],660.1µm
net22,645.92µm
clknet_0_clk,534.29µm
net23,488.36µm
net2,437.36µm
clk,316.82µm
clknet_3_0__leaf_clk,305.73µm
clknet_3_4__leaf_clk,284.65µm
clknet_3_7__leaf_clk,273.63µm
clknet_3_2__leaf_clk,269.15µm
clknet_3_6__leaf_clk,267.42µm
clknet_3_5__leaf_clk,259.02µm
clknet_3_1__leaf_clk,246.09µm
clknet_3_3__leaf_clk,237.69µm
out_cas_int\[7\],196.15µm
u_cas_int.out_int2\[22\],190.8µm
_0993_,185.36µm
u_cas_int.out_int2\[18\],180.47µm
out_cas_int\[22\],164.51µm
_0927_,158.02µm
out_cas_int\[5\],156.34µm
u_cas_int.out_int2\[2\],155.37µm
u_cas_int.out_int2\[7\],154.91µm
u_cas_int.out_int2\[3\],152.01µm
u_cas_int.out_int2\[10\],150.79µm
_0253_,149.57µm
out_cas_int\[0\],149.11µm
_0259_,145.04µm
u_cas_int.out_int1\[4\],143.56µm
out_cas_int\[11\],142.95µm
_0794_,142.57µm
_0844_,141.17µm
u_cas_int.out_int2\[4\],139.69µm
out_cas_int\[3\],139.03µm
_0636_,135.67µm
u_cas_int.out_int1\[22\],134.5µm
u_cas_int.out_int1\[16\],133.99µm
u_cas_int.out_int2\[8\],133.66µm
_0701_,133.48µm
u_cas_int.out_int2\[9\],130.63µm
u_cas_int.out_int2\[19\],129.56µm
out_cas_int\[15\],127.37µm
_0425_,126.66µm
u_cas_int.out_int1\[12\],125.64µm
out_cas_int\[6\],125.59µm
u_cas_int.out_int2\[11\],125.08µm
_0415_,120.96µm
out_cas_int\[20\],118.87µm
u_cas_int.out_int1\[10\],118.87µm
u_cas_int.out_int2\[13\],118.77µm
out_cas_int\[21\],118.21µm
u_cas_int.out_int2\[14\],118.21µm
u_cas_int.out_int1\[0\],117.8µm
_0635_,117.65µm
out_cas_int\[14\],116.78µm
u_cas_int.out_int2\[23\],115.56µm
out_cas_int\[8\],114.95µm
u_cas_int.out_int1\[3\],114.49µm
u_cas_int.out_int2\[1\],113.93µm
out_cas_int\[2\],112.71µm
out_cas_int\[18\],111.69µm
_0989_,110.42µm
out_cas_int\[17\],109.5µm
out_cas_int\[4\],109.4µm
out_cas_int\[10\],108.89µm
u_cas_int.out_int1\[8\],108.23µm
out_cas_int\[12\],108.18µm
u_cas_int.out_int1\[11\],107.77µm
_0700_,107.01µm
u_cas_int.out_int2\[12\],104.36µm
u_cas_int.out_int1\[13\],104.26µm
_0192_,103.09µm
_0257_,103.04µm
_0914_,102.68µm
_0591_,102.48µm
u_cas_int.out_int1\[2\],102.12µm
out_cas_int\[16\],101.46µm
_0920_,98.71µm
_0166_,98.66µm
_0330_,97.59µm
u_cas_int.out_int2\[15\],97.59µm
u_cas_int.out_int1\[14\],96.98µm
u_cas_int.out_int2\[0\],96.47µm
out_cas_int\[19\],95.4µm
u_cas_int.out_int2\[5\],94.94µm
out_cas_int\[23\],93.72µm
u_cas_int.out_int2\[20\],93.16µm
u_cas_int.out_int1\[15\],91.94µm
