Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_49_376,VDD,Metal1,220.0265,208.3365,5.000000
FILLER_49_357,VDD,Metal1,206.9200,207.7600,5.000000
FILLER_49_339,VDD,Metal1,196.8400,207.7600,5.000000
FILLER_49_337,VDD,Metal1,196.0000,207.7600,5.000000
FILLER_49_322,VDD,Metal1,187.6000,207.7600,5.000000
FILLER_49_274,VDD,Metal1,160.4400,207.7600,5.000000
FILLER_49_271,VDD,Metal1,158.7600,207.7600,5.000000
FILLER_49_240,VDD,Metal1,141.6800,207.7600,5.000000
FILLER_49_232,VDD,Metal1,137.2000,207.7600,5.000000
FILLER_49_228,VDD,Metal1,135.9000,208.1925,5.000000
FILLER_49_212,VDD,Metal1,130.5280,208.4520,5.000000
FILLER_49_203,VDD,Metal1,120.6800,207.7600,5.000000
FILLER_49_190,VDD,Metal1,113.4000,207.7600,5.000000
FILLER_49_188,VDD,Metal1,112.5600,207.7600,5.000000
FILLER_49_172,VDD,Metal1,108.1280,208.4520,5.000000
FILLER_49_158,VDD,Metal1,97.9465,208.3365,5.000000
FILLER_49_153,VDD,Metal1,92.6800,207.7600,5.000000
FILLER_49_147,VDD,Metal1,89.6000,207.7600,5.000000
FILLER_49_125,VDD,Metal1,77.2800,207.7600,5.000000
FILLER_49_108,VDD,Metal1,67.4800,207.7600,5.000000
FILLER_49_104,VDD,Metal1,66.4600,208.1925,5.000000
FILLER_49_93,VDD,Metal1,59.0800,207.7600,5.000000
FILLER_49_91,VDD,Metal1,58.2400,207.7600,5.000000
FILLER_49_87,VDD,Metal1,56.9400,208.1925,5.000000
FILLER_49_67,VDD,Metal1,44.5200,207.7600,5.000000
FILLER_49_65,VDD,Metal1,43.6800,207.7600,5.000000
FILLER_49_56,VDD,Metal1,38.3600,207.7600,5.000000
FILLER_49_42,VDD,Metal1,30.5200,207.7600,5.000000
FILLER_49_40,VDD,Metal1,29.6800,207.7600,5.000000
FILLER_49_36,VDD,Metal1,28.3800,208.1925,5.000000
FILLER_49_33,VDD,Metal1,25.4800,207.7600,5.000000
FILLER_49_17,VDD,Metal1,21.3280,208.4520,5.000000
FILLER_49_8,VDD,Metal1,11.4800,207.7600,5.000000
FILLER_49_6,VDD,Metal1,10.6400,207.7600,5.000000
FILLER_49_2,VDD,Metal1,9.3400,208.1925,5.000000
FILLER_48_356,VDD,Metal1,206.3600,207.7600,5.000000
FILLER_48_244,VDD,Metal1,143.6400,207.7600,5.000000
FILLER_48_206,VDD,Metal1,123.5800,207.3275,5.000000
FILLER_48_170,VDD,Metal1,102.2000,207.7600,5.000000
FILLER_48_168,VDD,Metal1,101.3600,207.7600,5.000000
FILLER_48_133,VDD,Metal1,81.4800,207.7600,5.000000
FILLER_48_131,VDD,Metal1,80.6400,207.7600,5.000000
FILLER_48_104,VDD,Metal1,65.2400,207.7600,5.000000
FILLER_48_98,VDD,Metal1,61.8800,207.7600,5.000000
FILLER_48_53,VDD,Metal1,36.6800,207.7600,5.000000
FILLER_48_51,VDD,Metal1,35.8400,207.7600,5.000000
FILLER_48_37,VDD,Metal1,27.7200,207.7600,5.000000
