net,length_um
net13,169.67µm
net14,140.35µm
clknet_1_0__leaf_clk,89.75µm
clknet_1_1__leaf_clk,77.99µm
shift_reg\[6\],60.53µm
_15_,55.44µm
data_in[4],54.74µm
_08_,49.84µm
_17_,46.53µm
_06_,45.41µm
clk,44.1µm
net8,36.45µm
net5,35.84µm
shift_reg\[4\],35.28µm
shift_reg\[3\],34.16µm
_22_,32.53µm
rst_n,32.34µm
shift_reg\[2\],31.36µm
_13_,30.24µm
_27_,30.24µm
_24_,29.68µm
shift_reg\[7\],29.17µm
_07_,29.12µm
shift_reg\[5\],29.12µm
data_in[9],28.42µm
data_in[10],27.3µm
_09_,26.88µm
data_in[11],26.74µm
data_in[5],25.62µm
_12_,25.2µm
net6,23.52µm
_02_,22.96µm
_33_,22.96µm
net4,21.84µm
_03_,20.77µm
_00_,20.72µm
_16_,20.72µm
_26_,20.72µm
shift_reg\[1\],20.72µm
_23_,20.21µm
net15,20.16µm
net9,19.65µm
_28_,19.04µm
data_in[1],18.9µm
data_in[3],18.34µm
_14_,16.8µm
_21_,15.73µm
shift_reg\[0\],15.68µm
data_in[6],15.54µm
net1,15.17µm
shift_reg\[9\],14.61µm
data_in[2],14.42µm
clknet_0_clk,14.05µm
serial_out,13.86µm
shift_reg\[10\],12.93µm
_18_,12.37µm
_25_,12.32µm
data_in[0],12.18µm
load_en,12.18µm
data_in[8],11.62µm
net3,11.2µm
data_in[7],9.38µm
net2,8.96µm
_19_,8.4µm
net7,7.89µm
_01_,7.84µm
_29_,7.84µm
net11,7.84µm
net12,7.56µm
_05_,7.28µm
_31_,6.72µm
shift_reg\[8\],6.72µm
_10_,5.6µm
_20_,5.6µm
net10,5.04µm
_30_,4.48µm
_04_,3.92µm
_11_,3.86µm
_32_,1.12µm
