Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_10_106,VDD,Metal1,66.3600,58.8000,4.999998
FILLER_10_104,VDD,Metal1,65.5200,58.8000,4.999998
FILLER_10_52,VDD,Metal1,38.5865,58.2230,4.999998
FILLER_10_36,VDD,Metal1,31.9680,58.1080,4.999998
FILLER_10_2,VDD,Metal1,17.4755,58.0310,4.999998
FILLER_9_74,VDD,Metal1,48.4400,50.9600,4.999978
FILLER_9_72,VDD,Metal1,47.6000,50.9600,4.999978
FILLER_9_60,VDD,Metal1,40.6000,50.9600,4.999978
FILLER_9_50,VDD,Metal1,35.2800,50.9600,4.999978
FILLER_9_46,VDD,Metal1,33.9800,51.3925,4.999978
FILLER_9_38,VDD,Metal1,30.7465,51.5365,4.999978
FILLER_9_2,VDD,Metal1,8.4000,50.9600,4.999979
FILLER_8_103,VDD,Metal1,64.9600,50.9600,4.999978
FILLER_8_47,VDD,Metal1,33.3200,50.9600,4.999978
FILLER_8_45,VDD,Metal1,32.4800,50.9600,4.999978
FILLER_8_41,VDD,Metal1,31.1800,50.5275,4.999978
FILLER_8_33,VDD,Metal1,25.7600,50.9600,4.999979
FILLER_8_28,VDD,Metal1,22.6800,50.9600,4.999979
FILLER_8_26,VDD,Metal1,21.8400,50.9600,4.999979
FILLER_7_106,VDD,Metal1,66.3600,43.1200,4.999900
FILLER_6_49,VDD,Metal1,34.4400,43.1200,4.999929
FILLER_6_47,VDD,Metal1,33.6000,43.1200,4.999929
FILLER_5_106,VDD,Metal1,66.3600,35.2800,4.999892
FILLER_5_69,VDD,Metal1,45.6400,35.2800,4.999892
FILLER_5_2,VDD,Metal1,8.4000,35.2800,4.999892
FILLER_4_37,VDD,Metal1,28.0000,35.2800,4.999892
FILLER_4_34,VDD,Metal1,26.0400,35.2800,4.999892
FILLER_3_106,VDD,Metal1,66.3600,27.4400,4.999955
FILLER_2_18,VDD,Metal1,17.0800,27.4400,4.999959
FILLER_1_106,VDD,Metal1,66.3600,19.6000,4.999972
FILLER_1_55,VDD,Metal1,38.0800,19.6000,4.999977
FILLER_1_20,VDD,Metal1,18.2000,19.6000,4.999978
FILLER_1_18,VDD,Metal1,17.3600,19.6000,4.999978
FILLER_0_106,VDD,Metal1,66.3600,19.6000,4.999972
FILLER_0_104,VDD,Metal1,65.5200,19.6000,4.999972
FILLER_0_20,VDD,Metal1,18.2000,19.6000,4.999978
FILLER_0_18,VDD,Metal1,17.3600,19.6000,4.999978
clkload0,VDD,Metal1,15.5130,35.7705,4.999892
clkbuf_1_1__f_clk,VDD,Metal1,51.3710,34.7825,4.999892
clkbuf_1_0__f_clk,VDD,Metal1,31.5085,35.7770,4.999892
clkbuf_0_clk,VDD,Metal1,51.3710,42.6225,4.999900
output15,VDD,Metal1,61.9700,51.2900,4.999978
input14,VDD,Metal1,50.5900,19.2700,4.999972
input13,VDD,Metal1,12.1300,42.7900,4.999928
input12,VDD,Metal1,50.5900,58.4700,4.999998
