Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_10_106,VSS,Metal1,66.3600,54.8800,0.000014
FILLER_10_104,VSS,Metal1,65.5200,54.8800,0.000014
FILLER_10_52,VSS,Metal1,37.5730,55.3415,0.000013
FILLER_10_36,VSS,Metal1,30.7520,55.4280,0.000013
FILLER_10_2,VSS,Metal1,16.1240,55.4775,0.000013
FILLER_9_74,VSS,Metal1,48.4400,54.8800,0.000014
FILLER_9_72,VSS,Metal1,47.6000,54.8800,0.000014
FILLER_9_60,VSS,Metal1,40.6000,54.8800,0.000013
FILLER_9_50,VSS,Metal1,35.2800,54.8800,0.000013
FILLER_9_46,VSS,Metal1,33.2200,54.5310,0.000013
FILLER_9_38,VSS,Metal1,29.7330,54.4180,0.000013
FILLER_9_2,VSS,Metal1,8.4000,54.8800,0.000013
FILLER_8_103,VSS,Metal1,64.9600,47.0400,0.000030
FILLER_8_47,VSS,Metal1,33.3200,47.0400,0.000029
FILLER_8_45,VSS,Metal1,32.4800,47.0400,0.000029
FILLER_8_41,VSS,Metal1,30.4200,47.3885,0.000029
FILLER_8_33,VSS,Metal1,25.7600,47.0400,0.000028
FILLER_8_28,VSS,Metal1,22.6800,47.0400,0.000029
FILLER_8_26,VSS,Metal1,21.8400,47.0400,0.000029
FILLER_7_106,VSS,Metal1,66.3600,47.0400,0.000030
FILLER_6_49,VSS,Metal1,34.4400,39.2000,0.000112
FILLER_6_47,VSS,Metal1,33.6000,39.2000,0.000112
FILLER_5_106,VSS,Metal1,66.3600,39.2000,0.000113
FILLER_5_69,VSS,Metal1,45.6400,39.2000,0.000113
FILLER_5_2,VSS,Metal1,8.4000,39.2000,0.000113
FILLER_4_37,VSS,Metal1,28.0000,31.3600,0.000076
FILLER_4_34,VSS,Metal1,26.0400,31.3600,0.000073
FILLER_3_106,VSS,Metal1,66.3600,31.3600,0.000079
FILLER_2_18,VSS,Metal1,17.0800,23.5200,0.000038
FILLER_1_106,VSS,Metal1,66.3600,23.5200,0.000039
FILLER_1_55,VSS,Metal1,38.0800,23.5200,0.000038
FILLER_1_20,VSS,Metal1,18.2000,23.5200,0.000038
FILLER_1_18,VSS,Metal1,17.3600,23.5200,0.000038
FILLER_0_106,VSS,Metal1,66.3600,15.6800,0.000006
FILLER_0_104,VSS,Metal1,65.5200,15.6800,0.000006
FILLER_0_20,VSS,Metal1,18.2000,15.6800,0.000005
FILLER_0_18,VSS,Metal1,17.3600,15.6800,0.000005
clkload0,VSS,Metal1,15.5465,38.7530,0.000112
clkbuf_1_1__f_clk,VSS,Metal1,52.4935,31.9580,0.000079
clkbuf_1_0__f_clk,VSS,Metal1,30.3860,38.6015,0.000112
clkbuf_0_clk,VSS,Metal1,52.4935,39.7980,0.000113
output15,VSS,Metal1,62.0365,54.5590,0.000014
